start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
177.63.225.114,177.63.225.114,177.63.0.0,São Paulo,São Paulo,BR,-23.5475,-46.63611,01000-000,America/Sao_Paulo
2416:7a7c:4000::,2416:7a7c:7fff:ffff:ffff:ffff:ffff:ffff,2416:7a7c:4000::,Sydney,New South Wales,AU,-33.86785,151.20732,1001,Australia/Sydney
2001:16a2:7132:200::,2001:16a2:7132:2ff:ffff:ffff:ffff:ffff,2001:16a2:4000::,Jeddah,Mecca Region,SA,21.49012,39.18624,,Asia/Riyadh
2a05:d18a:c000::,2a05:d18a:ffff:ffff:ffff:ffff:ffff:ffff,2a05:d18a:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
49.190.146.64,49.190.146.71,49.190.0.0,Perth,Western Australia,AU,-31.95224,115.8614,6000,Australia/Perth
171.97.214.8,171.97.214.15,171.97.0.0,Saraburi,Saraburi,TH,14.53333,100.91667,18190,Asia/Bangkok
2409:408a:838b:c200::,2409:408a:838b:c2ff:ffff:ffff:ffff:ffff,2409:408a:8000::,Tinsukia,Assam,IN,27.48905,95.35992,786170,Asia/Kolkata
187.116.58.96,187.116.58.101,187.116.0.0,Gravataí,Rio Grande do Sul,BR,-29.94218,-50.99278,94000-000,America/Sao_Paulo
170.81.193.128,170.81.194.255,170.81.0.0,Fortaleza,Ceará,BR,-3.71722,-38.54306,60000-000,America/Fortaleza
61.36.42.0,61.36.44.127,61.36.0.0,Seoul,Seoul,KR,37.566,126.9784,03141,Asia/Seoul
203.114.182.208,203.114.182.231,203.114.0.0,Palmerston North,Manawatu-Wanganui,NZ,-40.35636,175.61113,4441,Pacific/Auckland
2a1b:2c0e:c000::,2a1b:2c0e:ffff:ffff:ffff:ffff:ffff:ffff,2a1b:2c0e:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2a0e:fab9:c000::,2a0e:fab9:ffff:ffff:ffff:ffff:ffff:ffff,2a0e:fab9:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2600:1015:b053:400::,2600:1015:b053:4ff:ffff:ffff:ffff:ffff,2600:1015:8000::,Ashburn,Virginia,US,39.04372,-77.48749,20147,America/New_York
240e:3b1:baa8:c000::,240e:3b1:baa8:d0ff:ffff:ffff:ffff:ffff,240e:3b1:8000::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2601:207:1:5591::,2601:207:1:595f:ffff:ffff:ffff:ffff,2601:207::,Sacramento,California,US,38.58157,-121.4944,94203,America/Los_Angeles
2402:4480:2:3::2f:0,2402:4480:2:3::42:ffff,2402:4480::,Los Angeles,California,US,34.05223,-118.24368,90009,America/Los_Angeles
2a08:5478::,2a08:5478:3fff:ffff:ffff:ffff:ffff:ffff,2a08:5478::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
189.179.138.124,189.179.138.125,189.179.0.0,Piedras Negras,Coahuila,MX,28.70007,-100.52353,26030,America/Matamoros
2001:1890:1953:4200::,2001:1890:1953:43ff:ffff:ffff:ffff:ffff,2001:1890::,El Monte,California,US,34.0791,-118.0371,91731,America/Los_Angeles
187.238.92.189,187.238.92.189,187.238.0.0,Culhuacán,Hidalgo,MX,20.81498,-98.67153,43257,America/Mexico_City
189.203.139.42,189.203.139.45,189.203.0.0,León de los Aldama,Guanajuato,MX,21.12908,-101.67374,37260,America/Mexico_City
157.5.80.151,157.5.80.151,157.5.0.0,Abilene,Texas,US,32.44874,-99.73314,79604,America/Chicago
212.43.188.176,212.43.188.176,212.43.0.0,Reading,England,GB,51.45625,-0.97113,RG1,Europe/London
260b:967e:8000::,260b:967e:bfff:ffff:ffff:ffff:ffff:ffff,260b:967e:8000::,New York City,New York,US,40.71427,-74.00597,10001,America/New_York
2a00:eff2:c000::,2a00:eff2:ffff:ffff:ffff:ffff:ffff:ffff,2a00:eff2:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2a08:aec2::,2a08:aec2:3fff:ffff:ffff:ffff:ffff:ffff,2a08:aec2::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
179.70.2.0,179.70.3.255,179.70.0.0,Nova Iguaçu,Rio de Janeiro,BR,-22.75917,-43.45111,26000-000,America/Sao_Paulo
2808:7c0:c000::,2808:7c0:ffff:ffff:ffff:ffff:ffff:ffff,2808:7c0:c000::,Montevideo,Montevideo Department,UY,-34.90328,-56.18816,11100,America/Montevideo
240e:2eb7:8000::,240e:2eb7:bfff:ffff:ffff:ffff:ffff:ffff,240e:2eb7:8000::,Chaowai,Beijing,CN,39.91812,116.43242,100000,Asia/Shanghai
2a01:abb5::,2a01:abb5:3fff:ffff:ffff:ffff:ffff:ffff,2a01:abb5::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2409:408a:483:7600::,2409:408a:483:9aff:ffff:ffff:ffff:ffff,2409:408a::,Patna,Bihar,IN,25.59408,85.13563,800001,Asia/Kolkata
2a1d:3bd0:c000::,2a1d:3bd0:ffff:ffff:ffff:ffff:ffff:ffff,2a1d:3bd0:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
2c0d:430:8000::,2c0d:430:bfff:ffff:ffff:ffff:ffff:ffff,2c0d:430:8000::,Port Louis,Port Louis,MU,-20.16194,57.49889,,Indian/Mauritius
2a1a:6a8e:c000::,2a1a:6a8e:ffff:ffff:ffff:ffff:ffff:ffff,2a1a:6a8e:c000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
240e:33d:24a:5200::,240e:33d:24a:6aff:ffff:ffff:ffff:ffff,240e:33d::,Shanghai,Shanghai,CN,31.22222,121.45806,200000,Asia/Shanghai
2a0d:b424::,2a0d:b424:3fff:ffff:ffff:ffff:ffff:ffff,2a0d:b424::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
183.76.128.208,183.76.128.211,183.76.0.0,Kakogawachō-honmachi,Hyōgo,JP,34.76943,134.82905,675-8501,Asia/Tokyo
2a0d:fe75:8000::,2a0d:fe75:bfff:ffff:ffff:ffff:ffff:ffff,2a0d:fe75:8000::,Amsterdam,North Holland,NL,52.37403,4.88969,1012,Europe/Amsterdam
177.189.156.46,177.189.156.46,177.189.0.0,São José dos Campos,São Paulo,BR,-23.17944,-45.88694,12200-000,America/Sao_Paulo
64.105.98.0,64.105.99.255,64.105.0.0,Atlanta,Georgia,US,33.749,-84.38798,30302,America/New_York
198.14.201.68,198.14.201.69,198.14.0.0,Ellenton,Georgia,US,31.17602,-83.58739,31747,America/New_York
102.39.45.112,102.39.45.159,102.39.0.0,Cape Town,Western Cape,ZA,-33.92584,18.42322,7945,Africa/Johannesburg
2409:4054:316:1f00::,2409:4054:316:1fff:ffff:ffff:ffff:ffff,2409:4054::,Pahlgām,Jammu and Kashmir,IN,34.01592,75.31899,192129,Asia/Kolkata
